timestamp, IGNORE, OPEN, HIGH, LOW, CLOSE, IGNORE, VOL
2018-12-02 05-AM,BTCUSD,4126.1,4126.3,4049,4082,367.48,1498828.05
2018-12-02 04-AM,BTCUSD,4139.3,4153.1,4126.1,4126.1,141.05,584242.76
2018-12-02 03-AM,BTCUSD,4214.2,4214.9,4105.4,4139.3,491.48,2038852.55
2018-12-02 02-AM,BTCUSD,4228,4262.9,4205.2,4214.2,255.09,1081225.72
2018-12-02 01-AM,BTCUSD,4170.4,4237,4164.5,4228,239.8,1009272.96
2018-12-02 12-AM,BTCUSD,4138.4,4180,4135.2,4170.4,167.24,696699.42
2018-12-01 11-PM,BTCUSD,4177.7,4177.7,4132.8,4138.4,233.73,969443.06
2018-12-01 10-PM,BTCUSD,4171.3,4193.6,4165.2,4177.7,169.11,707051.07
2018-12-01 09-PM,BTCUSD,4151,4175,4135,4171.3,236.79,984115.08
2018-12-01 08-PM,BTCUSD,4230.2,4232.9,4126.8,4151,519.52,2162038.25
2018-12-01 07-PM,BTCUSD,4200.9,4237.4,4200.7,4230.2,291.47,1227468.09
2018-12-01 06-PM,BTCUSD,4218.5,4234.7,4195.1,4200.9,196.54,829666.46
2018-12-01 05-PM,BTCUSD,4234.9,4243.2,4183,4218.5,274.13,1153598.69
2018-12-01 04-PM,BTCUSD,4170,4286.6,4170,4234.9,1059.61,4484760.2
2018-12-01 03-PM,BTCUSD,4150.5,4178.9,4131.5,4170,248.66,1034740.07
2018-12-01 02-PM,BTCUSD,4131.8,4164,4113.1,4150.5,309.99,1280361.26
2018-12-01 01-PM,BTCUSD,4132.8,4168,4127.6,4131.8,174.89,725683.08
2018-12-01 12-PM,BTCUSD,4130,4193,4128,4132.8,624.08,2596152.77
2018-12-01 11-AM,BTCUSD,4114.7,4145,4108.4,4130,351.93,1452398.72
2018-12-01 10-AM,BTCUSD,3969.6,4146.8,3960.4,4114.7,1068.93,4349683.37
2018-12-01 09-AM,BTCUSD,3956,3977.6,3949.4,3969.6,54.07,214492.56
2018-12-01 08-AM,BTCUSD,3945,3988.9,3942.9,3956,112.46,446374.32
2018-12-01 07-AM,BTCUSD,3928.4,3945,3915.9,3945,129.38,508519.48
2018-12-01 06-AM,BTCUSD,3938.6,3950,3905.7,3928.4,281.1,1103826.65
2018-12-01 05-AM,BTCUSD,3943.7,3950,3911.1,3938.6,150.54,591770.74
2018-12-01 04-AM,BTCUSD,3966.5,3966.5,3911.5,3943.7,178.26,701107.78
2018-12-01 03-AM,BTCUSD,3950,3971.5,3936.9,3966.5,92.19,364921.96
2018-12-01 02-AM,BTCUSD,3966.1,3970.9,3944.1,3950,227.7,901948.35
2018-12-01 01-AM,BTCUSD,3972.1,3990,3966,3966.1,93.86,373486.54
